"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","29","0 Massey Square, Old East York, East York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1332,993,1785
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","30","0 Carlton Street, Downtown, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",181,84,385
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","31","100 Wareside Road, Etobicoke West Mall, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1327,950,1852
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","32","1000 Dundas Street West, Trinity - Bellwoods, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",597,413,862
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","33","0 Lappin Avenue, Wallace Emerson, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",895,612,1308
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","34","0 Ashbury Avenue, Oakwood Village, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1153,847,1568
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","35","100 Rockwell Avenue, Earlscourt, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1290,939,1772
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","36","300 Horsham Avenue, Willowdale, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1746,1340,2274
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","37","100 Eighth Street, New Toronto, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1410,990,2006
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","38","200 Lumsden Avenue, Woodbine - Lumsden, East York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1143,846,1544
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","39","100 Glengrove Avenue West, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1074,782,1473
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","40","0 Densley Avenue, Brookhaven - Amesbury, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1768,1356,2305
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","41","200 Saint Clarens Avenue, Brockton Village, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",918,646,1302
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","42","0 Erie Street, Maple Leaf, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1864,1370,2534
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","43","1700 Gerrard Street East, Beach Hill, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",966,721,1293
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","44","200 Johnston Avenue, Lansing, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1555,1184,2041
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","45","0 Apex Road, Yorkdale, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1487,1087,2033
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","46","Mimico Creek Trail, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1026,692,1520
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","47","0 Navenby Crescent, Humber Summit, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",2026,1535,2672
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","48","0 Grenoble Drive, Flemingdon Park, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",893,644,1237
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","49","300 Bay Mills Boulevard, Tam O'Shanter, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1643,1159,2328
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","50","0 Ionview Road, Ionview, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1769,1338,2338
