city,country,ISO CountryCode,AirportName,airporturl,ICAO,IATA,latitude,longitude,moreinfourl
Dutch Rail Zone 05 -- Railway Service  Dutch Rail Zone 05 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 05 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_05_--_Railway_Service/Airport_of_Dutch_Rail_Zone_05_--_Railway_Service, ,ZVP,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_05_--_Railway_Service/Airport_of_Dutch_Rail_Zone_05_--_Railway_Service
Dutch Rail Zone 06 -- Railway Service  Dutch Rail Zone 06 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 06 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_06_--_Railway_Service/Airport_of_Dutch_Rail_Zone_06_--_Railway_Service, ,ZVQ,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_06_--_Railway_Service/Airport_of_Dutch_Rail_Zone_06_--_Railway_Service
Dutch Rail Zone 07 -- Railway Service  Dutch Rail Zone 07 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 07 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_07_--_Railway_Service/Airport_of_Dutch_Rail_Zone_07_--_Railway_Service, ,ZWQ,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_07_--_Railway_Service/Airport_of_Dutch_Rail_Zone_07_--_Railway_Service
Dutch Rail Zone 08 -- Railway Service  Dutch Rail Zone 08 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 08 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_08_--_Railway_Service/Airport_of_Dutch_Rail_Zone_08_--_Railway_Service, ,ZVS,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_08_--_Railway_Service/Airport_of_Dutch_Rail_Zone_08_--_Railway_Service
Dutch Rail Zone 09 -- Railway Service  Dutch Rail Zone 09 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 09 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_09_--_Railway_Service/Airport_of_Dutch_Rail_Zone_09_--_Railway_Service, ,ZVT,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_09_--_Railway_Service/Airport_of_Dutch_Rail_Zone_09_--_Railway_Service
Dutch Rail Zone 10 -- Railway Service  Dutch Rail Zone 10 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 10 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_10_--_Railway_Service/Airport_of_Dutch_Rail_Zone_10_--_Railway_Service, ,ZVU,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_10_--_Railway_Service/Airport_of_Dutch_Rail_Zone_10_--_Railway_Service
Dutch Rail Zone 11 -- Railway Service  Dutch Rail Zone 11 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 11 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_11_--_Railway_Service/Airport_of_Dutch_Rail_Zone_11_--_Railway_Service, ,ZVV,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_11_--_Railway_Service/Airport_of_Dutch_Rail_Zone_11_--_Railway_Service
Dutch Rail Zone 12 -- Railway Service  Dutch Rail Zone 12 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 12 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_12_--_Railway_Service/Airport_of_Dutch_Rail_Zone_12_--_Railway_Service, ,ZVW,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_12_--_Railway_Service/Airport_of_Dutch_Rail_Zone_12_--_Railway_Service
Dutch Rail Zone 13 -- Railway Service  Dutch Rail Zone 13 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 13 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_13_--_Railway_Service/Airport_of_Dutch_Rail_Zone_13_--_Railway_Service, ,ZVX,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_13_--_Railway_Service/Airport_of_Dutch_Rail_Zone_13_--_Railway_Service
Dutch Rail Zone 14 -- Railway Service  Dutch Rail Zone 14 -- Railway Service,Netherlands,NL,Airport of Dutch Rail Zone 14 -- Railway Service,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_14_--_Railway_Service/Airport_of_Dutch_Rail_Zone_14_--_Railway_Service, ,ZVY,,,http://airportsbase.org/Netherlands/all/Dutch_Rail_Zone_14_--_Railway_Service/Airport_of_Dutch_Rail_Zone_14_--_Railway_Service
