name,description,styleUrl,longitude,latitude,altitude
BREVOORT ISLAND NUNAVUT,BREVOORT ISLAND NUNAVUT ,Weather StationID 1735,#icon-22,-64.133333,63.333333,0
BRIDGE LAKE 2 BRITISH COLUMBIA,BRIDGE LAKE 2 BRITISH COLUMBIA ,Weather StationID 1240,#icon-22,-120.783333,51.5,0
BRIER ISLAND NOVA SCOTIA,BRIER ISLAND NOVA SCOTIA ,Weather StationID 10859,#icon-22,-66.333333,44.283333,0
BROADVIEW SASKATCHEWAN,BROADVIEW SASKATCHEWAN ,Weather StationID 2855,#icon-22,-102.566667,50.366667,0
BROCKET AGDM ALBERTA,BROCKET AGDM ALBERTA ,Weather StationID 31407,#icon-22,-113.816667,49.616667,0
BROCKVILLE CLIMATE ONTARIO,BROCKVILLE CLIMATE ONTARIO ,Weather StationID 47567,#icon-22,-75.733333,44.633333,0
BROCKVILLE PCC ONTARIO,BROCKVILLE PCC ONTARIO ,Weather StationID 4236,#icon-22,-75.666667,44.6,0
BROOKS ALBERTA,BROOKS ALBERTA ,Weather StationID 2180,#icon-22,-111.833333,50.55,0
BROWNSDALE NEWFOUNDLAND,BROWNSDALE NEWFOUNDLAND ,Weather StationID 27617,#icon-22,-53.116667,48.033333,0
BROWNVALE AGCM ALBERTA,BROWNVALE AGCM ALBERTA ,Weather StationID 47067,#icon-22,-117.883333,56.116667,0
BUCTOUCHE CDA CS NEW BRUNSWICK,BUCTOUCHE CDA CS NEW BRUNSWICK ,Weather StationID 6918,#icon-22,-64.766667,46.416667,0
BUFFALO LAKE BRITISH COLUMBIA,BUFFALO LAKE BRITISH COLUMBIA ,Weather StationID 1243,#icon-22,-121.066667,51.7,0
BUFFALO NARROWS (AUT) SASKATCHEWAN,BUFFALO NARROWS (AUT) SASKATCHEWAN ,Weather StationID 7534,#icon-22,-108.416667,55.833333,0
BUFFALO NARROWS A SASKATCHEWAN,BUFFALO NARROWS A SASKATCHEWAN ,Weather StationID 3357,#icon-22,-108.433333,55.833333,0
BUFFALO POUND LAKE SASKATCHEWAN,BUFFALO POUND LAKE SASKATCHEWAN ,Weather StationID 2859,#icon-22,-105.383333,50.55,0
BULLHORN COULEE RESERVOIR ALBERTA,BULLHORN COULEE RESERVOIR ALBERTA ,Weather StationID 45747,#icon-22,-113.35,49.283333,0
BULLHORN HEADWATERS ALBERTA,BULLHORN HEADWATERS ALBERTA ,Weather StationID 45749,#icon-22,-113.55,49.15,0
BURGEO NL NEWFOUNDLAND,BURGEO NL NEWFOUNDLAND ,Weather StationID 45287,#icon-22,-57.616667,47.616667,0
BURLINGTON PIERS (AUT) ONTARIO,BURLINGTON PIERS (AUT) ONTARIO ,Weather StationID 7868,#icon-22,-79.8,43.3,0
BURNS LAKE DECKER LAKE BRITISH COLUMBIA,BURNS LAKE DECKER LAKE BRITISH COLUMBIA ,Weather StationID 574,#icon-22,-125.95,54.366667,0
BURWASH A YUKON TERRITORY,BURWASH A YUKON TERRITORY ,Weather StationID 1525,#icon-22,-139.05,61.366667,0
BURWASH AWOS YUKON TERRITORY,BURWASH AWOS YUKON TERRITORY ,Weather StationID 31087,#icon-22,-139.016667,61.366667,0
BUSBY AGCM ALBERTA,BUSBY AGCM ALBERTA ,Weather StationID 47068,#icon-22,-113.916667,53.916667,0
BUTTE ST PIERRE SASKATCHEWAN,BUTTE ST PIERRE SASKATCHEWAN ,Weather StationID 3212,#icon-22,-109.2,53.45,0
CADOGAN AGCM ALBERTA,CADOGAN AGCM ALBERTA ,Weather StationID 46470,#icon-22,-110.5,52.333333,0
CALGARY INT'L A ALBERTA,CALGARY INT'L A ALBERTA ,Weather StationID 2205,#icon-22,-114.016667,51.1,0
CALGARY INT'L CS ALBERTA,CALGARY INT'L CS ALBERTA ,Weather StationID 27211,#icon-22,-114,51.1,0
CALLAGHAN VALLEY BRITISH COLUMBIA,CALLAGHAN VALLEY BRITISH COLUMBIA ,Weather StationID 43500,#icon-22,-123.1,50.133333,0
CAM FOUR NUNAVUT,CAM FOUR NUNAVUT ,Weather StationID 10847,#icon-22,-89.716667,68.433333,0
CAMBRIDGE BAY A NUNAVUT,CAMBRIDGE BAY A NUNAVUT ,Weather StationID 1786,#icon-22,-105.133333,69.1,0
CAMBRIDGE BAY GSN NUNAVUT,CAMBRIDGE BAY GSN NUNAVUT ,Weather StationID 32233,#icon-22,-105.133333,69.1,0
