sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
10,128,12,1893.15,374.02,1856.91,1.22
11,118,12,1708.99,484.83,1650.78,1.29
27,36,12,1559.13,394.51,1511.42,1.28
64,104,11,1524.89,425.13,1472.36,1.3
62,124,11,1264.36,431.1,1203.33,1.36
63,114,11,1057.69,384.13,1004.41,1.36
61,134,11,1796.82,404.46,1754.78,1.24
128,29,12,1058.77,263.76,1030.56,1.25
129,19,12,1309.72,376.97,1263.34,1.3
123,79,12,437.83,186.31,406.71,1.45
127,39,12,1315.36,314.66,1280.43,1.26
4,4,10,215.9,223.46,166.51,1.97
57,32,11,1877.74,483.07,1819.77,1.28
56,42,11,783.05,290.71,741.69,1.37
59,107,12,1217.81,368.37,1173.44,1.3
52,82,11,809.61,294.25,762.32,1.41
58,117,12,1727.21,456.82,1672.83,1.28
58,22,11,1112.95,374.95,1059.62,1.36
57,127,12,1202.13,367.65,1157.3,1.3
55,52,11,929.02,280.99,890.05,1.34
125,59,12,905.21,342.18,856.76,1.37
46,139,12,1296.04,417.07,1238.5,1.34
100,17,10,728.5,232.78,695.09,1.35
59,12,11,298.08,146.84,274.94,1.47
49,109,12,415.67,299.64,351.34,1.77
56,137,12,1831.11,637.23,1749.03,1.33
47,129,12,1336.11,412.58,1282.32,1.32
51,92,11,1489.56,295.67,1460.96,1.22
126,49,12,551.97,310.0,495.15,1.57
48,119,12,785.21,289.48,741.72,1.39
54,62,11,1627.97,444.29,1577.12,1.28
124,69,12,1408.85,353.16,1366.55,1.28
104,1,10,1496.33,393.1,1449.7,1.28
53,72,11,2015.41,488.33,1957.53,1.27
125,4,10,1738.92,451.25,1682.79,1.29
80,73,10,777.03,264.97,741.62,1.34
82,53,10,1019.56,262.34,989.42,1.27
118,119,12,482.88,174.71,460.07,1.34
84,33,10,1106.51,329.48,1062.63,1.33
57,71,12,403.32,246.18,359.15,1.57
117,129,12,2049.06,411.16,2004.69,1.24
86,13,10,1786.39,708.75,1682.68,1.39
73,107,10,860.01,264.55,826.62,1.31
70,137,10,1012.03,263.77,975.46,1.32
72,117,10,1411.68,283.47,1383.33,1.22
55,91,12,1197.9,321.95,1159.71,1.28
66,47,12,948.32,446.84,877.14,1.45
71,127,10,927.07,346.65,876.78,1.38
122,89,12,1784.09,442.42,1732.53,1.27
85,23,10,502.04,202.08,466.86,1.46
56,81,12,1442.82,508.16,1371.75,1.36
140,84,11,764.76,239.85,730.94,1.35
141,74,11,1732.47,537.0,1658.52,1.34
83,43,10,2097.15,366.62,2063.3,1.2
64,67,12,844.49,249.64,809.59,1.34
119,109,12,1134.32,367.38,1085.17,1.33
92,26,11,1481.3,368.91,1436.49,1.28
93,16,11,1850.55,553.77,1788.2,1.28
81,63,10,1527.2,717.0,1409.72,1.45
90,46,11,2065.82,611.63,1978.49,1.34
116,139,12,2518.7,622.86,2442.86,1.28
91,36,11,1437.66,373.56,1395.48,1.27
62,87,12,822.24,252.44,788.17,1.33
70,1,12,1628.85,466.16,1563.4,1.33
65,57,12,986.88,336.03,938.27,1.36
121,99,12,1652.17,398.82,1611.23,1.24
72,52,10,1731.36,377.59,1693.71,1.23
71,62,10,834.01,304.02,792.72,1.36
61,97,12,972.13,264.13,942.45,1.27
45,141,10,1667.96,460.36,1612.33,1.29
46,131,10,945.82,398.43,897.22,1.34
48,111,10,1073.48,506.4,987.57,1.47
44,102,10,929.93,352.46,878.54,1.38
42,122,10,1155.92,365.84,1111.2,1.31
73,42,10,316.07,160.36,289.77,1.48
41,132,10,137.26,100.76,102.01,2.45
47,121,10,305.69,184.28,273.96,1.53
43,112,10,2064.0,835.21,1897.07,1.52
76,12,10,1383.67,386.55,1335.18,1.3
18,99,10,1622.72,422.88,1578.57,1.25
19,89,10,1154.61,326.81,1115.19,1.29
33,9,10,1047.03,321.54,1008.31,1.3
75,22,10,502.56,250.65,456.36,1.52
49,101,10,210.69,202.42,123.0,3.32
61,16,11,1147.41,552.63,1095.89,1.3
60,26,11,1650.74,459.93,1594.37,1.3
74,32,10,2521.3,561.73,2465.85,1.23
69,17,12,1585.46,338.05,1551.75,1.23
59,51,12,1727.0,465.87,1670.6,1.29
70,72,10,1781.45,434.32,1730.17,1.28
99,10,11,981.62,211.04,961.87,1.22
97,30,11,1788.57,540.19,1717.01,1.32
93,70,11,1303.16,499.32,1220.94,1.42
135,3,10,796.35,255.23,763.78,1.32
98,20,11,2409.52,693.6,2314.0,1.33
58,61,12,1942.3,636.42,1852.91,1.35
91,90,11,1469.08,270.17,1447.76,1.18
58,62,12,1161.6,364.11,1113.59,1.33
57,72,12,852.99,256.55,816.38,1.35
70,2,12,942.23,296.79,900.56,1.34
59,52,12,1378.42,474.56,1310.36,1.36
94,60,11,1971.82,473.27,1918.87,1.26
55,92,12,985.49,266.19,954.53,1.28
56,82,12,1663.68,455.31,1608.9,1.29
92,80,11,1934.62,327.59,1906.45,1.19
63,77,12,1759.2,536.85,1680.78,1.35
111,59,12,1292.66,475.33,1230.35,1.35
113,39,12,989.03,293.53,950.85,1.32
115,19,12,1552.53,747.11,1455.96,1.38
68,27,12,2067.91,480.91,2020.49,1.23
67,37,12,1410.06,270.26,1385.49,1.2
78,21,11,1419.53,372.18,1375.96,1.28
71,91,11,931.55,264.44,901.86,1.28
77,31,11,1648.15,440.2,1593.83,1.29
71,24,11,705.5,406.29,644.17,1.49
72,14,11,1316.93,393.96,1265.88,1.32
72,81,11,1173.58,316.86,1138.79,1.27
70,34,11,1562.95,468.16,1499.03,1.33
75,51,11,1961.57,1141.8,1771.72,1.5
79,11,11,796.47,225.85,768.44,1.3
29,1,12,2290.93,474.23,2242.38,1.23
52,44,11,1427.32,335.56,1390.82,1.25
54,24,11,716.97,293.71,667.61,1.44
55,14,11,1047.52,382.51,991.37,1.38
53,34,11,1354.59,335.61,1315.31,1.27
81,54,11,886.12,349.17,832.3,1.41
82,44,11,1178.09,354.0,1129.86,1.33
83,34,11,154.99,117.82,111.62,2.54
80,64,11,1388.23,340.47,1349.36,1.27
87,130,12,1234.21,304.23,1199.75,1.27
88,120,12,1317.45,350.67,1275.73,1.28
76,41,11,298.68,185.32,236.18,2.17
84,24,11,1281.52,353.62,1237.58,1.3
86,139,12,438.9,249.74,391.01,1.59
42,129,11,875.62,263.22,843.23,1.3
44,109,11,842.48,415.62,778.84,1.45
87,129,12,428.02,165.25,402.01,1.42
41,139,11,1427.62,421.62,1374.77,1.31
71,119,10,990.07,354.38,937.92,1.38
72,109,10,1345.04,396.42,1293.04,1.32
